,user,username
2863,128713577,ClaudineR66
2890,1518760605586534401,GlennT7150
2897,36667104,politicalmath
2905,17544442,wusf
2908,137759637,SMCCanada
2909,3400215064,EvaFemale71
2918,1018297819973718016,gordon_alive
2934,24700876,TheTorontoSun
2975,1832055507164557312,HealthFreedomPA
2987,962536562234920960,ashlee_leeee
3003,2279588239,GrandEriePH
3014,20711586,GlobalBC
3017,1672673549666992129,broken_science
3048,93059585,ATLNewsFirst
3063,64506942,SDCountyHHSA
3098,1262167370,CDC_NCEZID
3100,134198093,SaskHealth
3107,20751449,the_hindu
3109,1920821826,evanmac3
3111,1493394094420381697,JoeScha38137177
3118,268950193,GersonBorrero
3119,3031049679,TXforVaxChoice
3133,260266028,mcharlesworth7
3158,719333204121890816,cdbjr_
3176,858466264875900929,mccaffreyr3
3181,1136698091250339842,bgcoalition2020
3187,206576967,mopeng
3193,1499774826445422598,timberfag
3199,1703722110495911937,Eastleighvoice
3205,8940342,HoustonChron
3208,1483750637275860993,catsscareme2021
3224,1670439126422761473,franksdeepdive
3225,705694814612938752,NCDCgov
3238,1678893202349195271,dragu_paul80
3239,150078976,ChrisMurphyCT
3245,1244663153872560129,Fernand46357857
3248,2374441196,RNZPacific
3259,1425147277631393794,lou_twin
3290,59131425,PublicHealthON
3293,35051304,PolitiBunny
3300,104700877,sfastlicht
3311,633668968,akeece58
3355,973755185330663424,WhymanKaren
3358,409503621,RioSlade
3391,941764751272620034,Histo_Journal
3431,2200385624,gcochran99
3443,1251999829603110920,IM_Crit_
3445,1844836924407656458,eliza72763
3498,68221416,gxm16twi
3502,1476778489265205267,RootedAether
3503,162069635,RepCohen
3512,1004022175,Nancy_Crouse
3517,819437633998729216,samikyu
3519,1243374325,OneBromley
3522,2174199313,CarlMarsalis
3529,1586183049850634240,janie_perdue
3566,8736882,globeandmail
3572,180234263,sweatylamarr
3580,1671753558134493185,surfing4truth2
3595,778553129675522048,sunyarrow
3597,1743591285976424448,IranInAshgabat
3608,1667029480228126721,tyyari4upsc
3627,61149653,WesSmith123
3632,22464472,wembleymich
3645,1386836433051262978,CanHealthwatch
3687,9830752,mySA
3691,1261977682759294977,mihareality
3703,178065733,ByMikeBaker
3709,1743550475172302849,drsmh79
3734,1612255496924450816,Saangers
3737,870535057,AusPublicHealth
3742,1445202486181117959,Michell65728654
3762,814819352662790145,CGTNEurope
3769,1668756944314863616,BrianHookerPhD
3777,266152432,rebekahallen
3787,1384986887765610500,alchemikpharmd
3800,25911044,drsforamerica
3805,191292490,clubfmphilly
3809,1170241080,Regular_Dr
3815,632687052,cultmtl
3834,22220447,AUG_Chronicle
3842,1676739032829640704,LEGIO_X_
3843,3058922955,KeleledigitalK
3849,18062553,nwasianweekly
3864,1274241477531459585,breadth_n
3873,19223757,jonconnell
3876,1518620479715790853,A1an_M
3901,237318702,EXPSGamble
3912,15769858,edmontonjournal
3919,4473550517,arcticgalaxies
3928,24291371,MobilePunch
3931,1160506639046328321,PiQSuite
3937,1605972978625400833,courtenaymanx
3939,1858297691966685184,nihardesai89
3958,87777888,NaturopathNews
3970,1316523898989617153,Voz_US
3977,15232635,KVUE
3991,1072525150589861888,ChronicleLance
3996,362650318,JustLovingLex
4000,62734246,RiegerReport
4009,1636934980374003712,autismlibrarian
4022,1429826849862000650,moorikodaze
4038,38519688,scotthamkennedy
4040,1457817723405099012,kjsdad1234
4046,1485364399011475459,LeenerTep
4049,4530346400,jacksfriend25
4065,2955880366,Actingmom2
4066,1268891400428453888,ETPawsz
4076,22562961,TOPublicHealth
4082,1335268283545751552,HexdlineNews
4096,17070252,fox13seattle
4113,857301314,Somesaylezzels
4161,3149176301,AfricaCDC
4167,86207164,caamfs
4184,1388763492317024261,BanounHelene
4200,58744497,rimaanabtawi
4210,1069811420,StefWKight
4222,74483386,UNICEF_ECA
4235,750331049020952577,314action
4237,725280995944062976,GCHSCP
4240,1543531119294939137,NateB_Panic
4253,203123011,CTVNews
4261,15615783,startelegram
4266,1469129289962594308,OnlineFreeUSA
4273,755751277,colinstevenson9
4280,14368430,FrankStrovel
4285,1065119546,mdtlion
4286,197137236,chigoziiie
4287,1582141650272681990,discophysique
4296,1511075359424491520,pandemiccenter
4306,1027987109146177537,PokerPolitics
4321,3065301110,NBSaphierMD
4334,16086928,komonews
4349,1855069178954141696,jasper832271130
4354,124424461,SabrinaKitaka
4360,1598504933535453186,Esibanga
4375,195856294,QuiteFranklyTV
4377,1819238708115394562,Grnd_Theft_Pols
4416,1513168696830738439,AndyGJBurge
4429,1250197063,TheCoconetTV
4430,992426621402411009,PatientDay
4434,59783707,LaurenMatter
4438,1619858829570723841,AfricaHealthRep
4471,506391097,KLBKNews
4490,767928842,geogvma
4498,1496676577483968513,DogDoneDooDoo
4508,22336731,STrimel
4551,1311128790,SLeeMtl
4559,1064582363366199296,ESTRELLAMariaR4
4566,1221462414744596483,RpsAgainstTrump
4568,1222263013,spturgon
4577,22930902,breakfasttv
4579,14662354,WashTimes
4591,27774639,CJAD800
4609,1798528395371819008,nj4rfk
4616,21406834,SenMarkey
4626,23455653,abettel
4635,797190773510848512,SEGNewZealand
4639,1079429091546316800,bright8694
4674,971440608484081664,CheriPrice1966
4675,1929030181,marynlm
4684,21765111,erlesen
4691,13265132,abc3340
4708,15945699,RamseyCounty
4717,1641569890283970561,qdingleanon
4725,1519093007299096576,JJ02871
4740,194150526,CTVNationalNews
4743,734270754775171074,NotChemnitz
4765,47279129,UGIndependent
4798,1512207538342842372,HlafitT
4812,370524085,AFENETAfrica
4838,197554405,RobertFife
4847,109398997,stopvaccinating
4850,18005085,MZHemingway
4861,749018168488853504,Bruce_Waidler
4862,1536223580,GovernmentZA
4875,2669131531,indie_pixel
4921,28515818,LaurelNelsonH
